COMMENT_ID,USER_ID,TRACK_ID,COMMENT,TIMESTAMP_AT_COMMENT
1,7,9,She says she has the ability to hear the soundtrack of your life.,2021/08/10 22:53:02
2,5,3,He walked into the basement with the horror movie from the night before playing in his head.,2021/02/10 17:09:19
3,6,8,The furnace repairman indicated the heating system was acting as an air conditioner.,2021/07/06 13:23:23
4,5,5,He waited for the stop sign to turn to a go sign.,2021/01/19 1:40:03
5,5,8,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",2021/06/27 2:26:05
6,6,1,"He said he was not there yesterday; however, many people saw him there.",2021/08/09 12:13:50
7,7,10,Blue sounded too cold at the time and yet it seemed to work for gin.,2021/01/09 15:22:13
8,2,9,That was how he came to win $1 million.,2021/06/09 10:23:17
9,8,3,Potato wedges probably are not best for relationships.,2021/03/05 19:03:45
10,4,4,The toddler’s endless tantrum caused the entire plane anxiety.,2021/16/11 05:14:28
11,7,6,The random sentence generator generated a random sentence about a random sentence.,2021/08/07 6:14:28
12,7,7,They throw cabbage that turns your brain into emotional baggage.,2021/07/25 19:33:22
13,2,4,Doris enjoyed tapping her nails on the table to annoy everyone.,2021/09/29 22:30:51
14,10,1,Mary plays the piano.,2021/05/21 16:23:24
15,2,2,"She saw the brake lights, but not in time.",2021/01/15 14:25:58
16,8,8,He put heat on the wound to see what would grow.,2021/12/01 10:35:30
17,3,4,The beach was crowded with snow leopards.,2021/06/16 19:58:59
18,2,6,When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.,2021/03/19 3:35:12
19,7,7,There can never be too many cherries on an ice cream sundae.,2021/09/24 7:01:55
20,6,10,He decided to count all the sand on the beach as a hobby.,2021/11/09 7:10:31
21,6,7,"The secret code they created made no sense, even to them.",2021/07/31 0:29:36
22,8,10,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.,2021/08/18 14:17:28
23,10,7,The fish listened intently to what the frogs had to say.,2021/01/03 1:26:16
24,4,6,There are no heroes in a punk rock band.,2021/10/24 5:26:53
25,2,8,Gwen had her best sleep ever on her new bed of nails.,2021/04/16 16:34:26
26,2,10,They improved dramatically once the lead singer left.,2021/10/31 7:33:30
27,4,10,The anaconda was the greatest criminal mastermind in this part of the neighborhood.,2021/02/28 21:59:31
28,6,2,Despite multiple complications and her near-death experience,2021/05/28 1:44:35
29,3,3,Kevin embraced his ability to be at the wrong place at the wrong time.,2021/09/28 2:58:49
30,10,3,Now I need to ponder my existence and ask myself if I'm truly real,2021/06/25 18:02:32
